value,count
complete,740442
issued,247431
expired,232110
cancelled,43192
filed,11364
withdrawn,11220
reinstated,1496
approved,1175
filing,1097
suspend,639
disapproved,574
triage,440
revoked,269
plancheck,48
appeal,29
issuing,24
denied,13
,12
inspection,5
incomplete,3
upheld,2
unknown,2
granted,1
overruled,1
