value,count
CNCD,38993
ANT,35706
RCHMD,35432
WALCR,34949
SNRMN,27756
BRTWD,23844
DAN,22237
PITTS,20790
MRTNZ,17161
OKLY,15937
PLHL,12247
SNPAB,11095
LAF,11088
HERC,8998
ELCER,8883
ORNDA,7855
DISBY,6724
PNOLE,6696
MRGA,6258
ALAMO,5953
BAYPT,5690
ELSOB,5071
CLYTN,5027
RODEO,2709
KNSTN,2311
BTHIS,2064
CRCKT,1473
,1191
PACH,1154
BYRON,771
DBLO,444
KNTSN,382
CLYDE,278
CANYN,209
LIVAL,174
BRINS,120
PTCOS,115
PTCHI,49
PLSTN,1
