permit_number,permit_type,permit_type_definition,permit_creation_date,block,lot,filed_date,issued_date,approved_date,completed_date,status,status_date,street_number,street_name,street_suffix,zipcode,existing_use,proposed_use,existing_units,proposed_units,estimated_cost,revised_cost,adu,primary_address_flag,supervisor_district,neighborhoods_analysis_boundaries,record_id,data_as_of,location,point_source
9025273,8,otc alterations permit,1990-12-11T00:00:00.000,0223,007,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1991-03-20T00:00:00.000,complete,1991-03-20T00:00:00.000,1028,Sacramento,St,94108.0,apartments,apartments,3.0,3.0,15000.0,,N,Y,3.0,Nob Hill,318268233047,2025-08-07T23:55:01.000,POINT (-122.409959223 37.793154355),eas_address_point
9025273,8,otc alterations permit,1990-12-11T00:00:00.000,0223,007,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1991-03-20T00:00:00.000,complete,1991-03-20T00:00:00.000,1028,Sacramento,St,94108.0,apartments,apartments,3.0,3.0,15000.0,,N,,3.0,Nob Hill,318269296506,2025-08-07T23:55:01.000,POINT (-122.409959223 37.793154355),eas_address_point
9025273,8,otc alterations permit,1990-12-11T00:00:00.000,0223,007,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1991-03-20T00:00:00.000,complete,1991-03-20T00:00:00.000,1028,Sacramento,St,94108.0,apartments,apartments,3.0,3.0,15000.0,,N,,3.0,Nob Hill,318270297258,2025-08-07T23:55:01.000,POINT (-122.409959223 37.793154355),eas_address_point
9025278,8,otc alterations permit,1990-12-11T00:00:00.000,4030,021,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1991-04-19T00:00:00.000,complete,1991-04-19T00:00:00.000,653,Kansas,St,94107.0,2 family dwelling,2 family dwelling,2.0,2.0,4400.0,,N,Y,10.0,Potrero Hill,318275168983,2025-08-07T23:55:01.000,POINT (-122.402913974 37.761466773),eas_address_point
9025279,8,otc alterations permit,1990-12-11T00:00:00.000,3589,104,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1991-03-28T00:00:00.000,complete,1991-03-28T00:00:00.000,3459,18th,St,94110.0,1 family dwelling,1 family dwelling,0.0,0.0,3300.0,,N,Y,9.0,Mission,780121371561,2025-08-07T23:55:01.000,POINT (-122.420582858 37.761555891),eas_address_point
9025283,8,otc alterations permit,1990-12-11T00:00:00.000,3706,096,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1991-04-10T00:00:00.000,complete,1991-04-10T00:00:00.000,75,Yerba Buena,Ln,94103.0,1 family dwelling,1 family dwelling,1.0,1.0,8500.0,0.0,N,Y,6.0,Financial District/South Beach,1443146449572,2025-08-07T23:55:01.000,POINT (-122.404101364 37.785530259),eas_address_point
9025286,3,additions alterations or repairs,1990-12-11T00:00:00.000,1269,186,1990-12-11T00:00:00.000,1991-01-30T00:00:00.000,1990-12-26T00:00:00.000,1991-08-23T00:00:00.000,complete,1991-08-23T00:00:00.000,273,Frederick,St,94117.0,apartments,apartments,3.0,3.0,5000.0,,N,Y,8.0,Haight Ashbury,318281271574,2025-08-07T23:55:01.000,POINT (-122.447540254 37.766820457),eas_address_point
9025286,3,additions alterations or repairs,1990-12-11T00:00:00.000,1269,187,1990-12-11T00:00:00.000,1991-01-30T00:00:00.000,1990-12-26T00:00:00.000,1991-08-23T00:00:00.000,complete,1991-08-23T00:00:00.000,273,Frederick,St,94117.0,apartments,apartments,3.0,3.0,5000.0,,N,,8.0,Haight Ashbury,318282284751,2025-08-07T23:55:01.000,POINT (-122.447540254 37.766820457),eas_address_point
9025287,8,otc alterations permit,1990-12-11T00:00:00.000,2170,023,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1991-03-14T00:00:00.000,complete,1991-03-14T00:00:00.000,2191,47th,Av,94116.0,1 family dwelling,1 family dwelling,1.0,1.0,3000.0,,N,Y,4.0,Sunset/Parkside,318283128410,2025-08-07T23:55:01.000,POINT (-122.506193746 37.745659461),eas_address_point
9025288,8,otc alterations permit,1990-12-11T00:00:00.000,0436B,001C,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-11T00:00:00.000,1990-12-17T00:00:00.000,complete,1990-12-17T00:00:00.000,173,Marina,Bl,94123.0,1 family dwelling,1 family dwelling,0.0,0.0,9464.0,,N,,2.0,Marina,318285300915,2025-08-07T23:55:01.000,POINT (-122.435114798 37.805505714),eas_address_point
