permit_number,permit_type,permit_type_definition,permit_creation_date,block,lot,filed_date,issued_date,approved_date,completed_date,status,status_date,street_number,street_name,street_suffix,zipcode,existing_use,proposed_use,existing_units,proposed_units,estimated_cost,revised_cost,adu,primary_address_flag,supervisor_district,neighborhoods_analysis_boundaries,record_id,data_as_of,location,point_source
202006158762,8,otc alterations permit,2020-06-15T00:00:00.000,1176,039,2020-06-15T11:23:08.000,2020-06-17T10:08:44.000,2020-06-17T10:08:44.000,2020-07-28T16:13:03.000,complete,2020-07-28T16:13:03.000,1963,Mcallister,St,94117.0,apartments,apartments,8.0,8.0,27960.0,28000.0,N,Y,2.0,Lone Mountain/USF,1591765445780,2025-08-07T23:55:01.000,POINT (-122.444343175 37.776747677),eas_address_point
202006158763,3,additions alterations or repairs,2020-06-15T00:00:00.000,4761,022,2020-06-15T11:29:50.000,2022-06-17T14:04:44.000,2022-06-17T14:04:44.000,2023-05-24T15:48:15.000,complete,2023-05-24T15:48:15.000,1335,Quesada,Av,94124.0,1 family dwelling,apartments,1.0,3.0,40000.0,40000.0,N,Y,10.0,Bayview Hunters Point,1591766174824,2025-08-07T23:55:01.000,POINT (-122.384840478 37.729288474),eas_address_point
202006158764,3,additions alterations or repairs,2020-06-15T00:00:00.000,4761,022,2020-06-15T11:32:51.000,,,,withdrawn,2023-05-23T09:04:02.000,1335,Quesada,Av,94124.0,1 family dwelling,apartments,1.0,3.0,8000.0,,N,Y,10.0,Bayview Hunters Point,1591767174824,2025-08-07T23:55:01.000,POINT (-122.384840478 37.729288474),eas_address_point
202006158766,8,otc alterations permit,2020-06-15T00:00:00.000,8711,226,2020-06-15T12:23:11.000,2020-08-20T12:47:31.000,2020-08-18T15:17:54.000,2020-10-16T11:45:04.000,complete,2020-10-16T11:45:04.000,1385,04th,St,94158.0,retail sales,retail sales,200.0,200.0,150000.0,185000.0,N,Y,6.0,Mission Bay,1591776507600,2025-08-07T23:55:01.000,POINT (-122.391061651 37.771109537),eas_address_point
202006158767,8,otc alterations permit,2020-06-15T00:00:00.000,0207,032,2020-06-15T12:45:04.000,2020-12-09T11:47:31.000,2020-12-09T11:47:31.000,,issued,2020-12-09T11:47:31.000,600,Montgomery,St,94111.0,office,office,,,1000.0,1000.0,N,Y,3.0,Chinatown,1591801296199,2025-08-07T23:55:01.000,POINT (-122.40273227 37.795156562),eas_address_point
202006158769,3,additions alterations or repairs,2020-06-15T00:00:00.000,3612,035,2020-06-15T13:16:48.000,2020-08-31T08:11:51.000,2020-08-25T12:35:24.000,2023-12-22T10:02:36.000,complete,2023-12-22T10:02:36.000,2441,Folsom,St,94110.0,2 family dwelling,2 family dwelling,2.0,2.0,200000.0,200000.0,N,Y,9.0,Mission,1591780162034,2025-08-07T23:55:01.000,POINT (-122.414270454 37.758220354),eas_address_point
202006158769,3,additions alterations or repairs,2020-06-15T00:00:00.000,3612,035,2020-06-15T13:16:48.000,2020-08-31T08:11:51.000,2020-08-25T12:35:24.000,2023-12-22T10:02:36.000,complete,2023-12-22T10:02:36.000,2443,Folsom,St,94110.0,2 family dwelling,2 family dwelling,2.0,2.0,200000.0,200000.0,N,,9.0,Mission,1591781512760,2025-08-07T23:55:01.000,POINT (-122.414271804 37.758218752),eas_address_point
M1210408,8,otc alterations permit,2020-06-13T00:00:00.000,0180,043,2020-06-13T10:00:34.000,2020-06-15T08:57:55.000,2020-06-15T08:57:55.000,,issued,2020-06-15T08:57:55.000,1342,Mason,St,94133.0,,,,,,1.0,N,Y,3.0,Chinatown,1591608232434,2025-08-07T23:55:01.000,POINT (-122.411426251 37.796090848),eas_address_point
202006158770,3,additions alterations or repairs,2020-06-15T00:00:00.000,3506,008,2020-06-15T13:42:34.000,2020-11-02T13:58:32.000,2020-11-01T11:43:49.000,,issued,2020-11-02T13:58:32.000,1500,Mission,St,94103.0,,office,,,1.0,1.0,N,Y,6.0,Mission,1591783510076,2025-08-07T23:55:01.000,POINT (-122.417493042 37.774221418),eas_address_point
202006158771,8,otc alterations permit,2020-06-15T00:00:00.000,2985,019,2020-06-15T13:52:59.000,2020-06-17T07:52:43.000,2020-06-17T07:52:43.000,2020-11-30T10:57:00.000,complete,2020-11-30T10:57:00.000,240,Juanita,Wy,94127.0,1 family dwelling,1 family dwelling,1.0,1.0,23000.0,23000.0,N,Y,7.0,West of Twin Peaks,1591785148899,2025-08-07T23:55:01.000,POINT (-122.456720266 37.740784665),eas_address_point
202006158773,8,otc alterations permit,2020-06-15T00:00:00.000,0513,002,2020-06-15T14:17:37.000,2020-06-17T08:13:53.000,2020-06-17T08:13:53.000,,issued,2020-06-17T08:13:53.000,3037,Pierce,St,94123.0,apartments,apartments,4.0,4.0,21100.0,22000.0,N,Y,2.0,Marina,1591789234769,2025-08-07T23:55:01.000,POINT (-122.439446495 37.798192813),eas_address_point
202006158774,8,otc alterations permit,2020-06-15T00:00:00.000,1500,014A,2020-06-15T14:21:37.000,2020-06-17T11:53:52.000,2020-06-17T11:53:51.000,2020-06-30T16:11:51.000,complete,2020-06-30T16:11:51.000,571,44th,Av,94121.0,1 family dwelling,1 family dwelling,1.0,1.0,3000.0,3000.0,N,Y,1.0,Outer Richmond,1591790101704,2025-08-07T23:55:01.000,POINT (-122.505324449 37.777773761),eas_address_point
202006158775,8,otc alterations permit,2020-06-15T00:00:00.000,0837,001,2020-06-15T14:25:23.000,2020-06-17T07:50:36.000,2020-06-17T07:50:36.000,,issued,2020-06-17T07:50:36.000,45,Franklin,St,94102.0,office,office,0.0,0.0,39500.0,40000.0,N,Y,5.0,Hayes Valley,1591791436464,2025-08-07T23:55:01.000,POINT (-122.421071194 37.774952008),eas_address_point
202006158776,8,otc alterations permit,2020-06-15T00:00:00.000,3740,027,2020-06-15T14:27:16.000,2020-08-25T08:27:28.000,2020-08-21T08:58:34.000,2021-03-30T14:25:12.000,complete,2021-03-30T14:25:12.000,150,Folsom,St,94105.0,retail sales,retail sales,,,29375.0,153740.0,N,Y,6.0,Financial District/South Beach,1591792511117,2025-08-07T23:55:01.000,POINT (-122.391710407 37.789687301),eas_address_point
202006158778,8,otc alterations permit,2020-06-15T00:00:00.000,2360,019,2020-06-15T14:35:09.000,2020-06-16T08:00:04.000,2020-06-16T08:00:03.000,2020-06-30T13:49:59.000,complete,2020-06-30T13:49:59.000,2150,Taraval,St,94116.0,retail sales,retail sales,0.0,0.0,30249.0,31000.0,N,Y,4.0,Sunset/Parkside,1591794132597,2025-08-07T23:55:01.000,POINT (-122.489374132 37.742695822),eas_address_point
202006158779,8,otc alterations permit,2020-06-15T00:00:00.000,0345,012B,2020-06-15T14:43:46.000,2020-06-17T07:57:26.000,2020-06-17T07:57:26.000,2020-08-20T12:02:19.000,complete,2020-08-20T12:02:19.000,371,Turk,St,94102.0,apartments,apartments,25.0,25.0,30000.0,38000.0,N,Y,5.0,Tenderloin,1591796234104,2025-08-07T23:55:01.000,POINT (-122.41510965 37.782426163),eas_address_point
