permit_number,permit_type,permit_type_definition,permit_creation_date,block,lot,filed_date,issued_date,approved_date,completed_date,status,status_date,street_number,street_name,street_suffix,zipcode,existing_use,proposed_use,existing_units,proposed_units,estimated_cost,revised_cost,adu,primary_address_flag,supervisor_district,neighborhoods_analysis_boundaries,record_id,data_as_of,location,point_source
201102150257,8,otc alterations permit,2011-02-15T00:00:00.000,1081,062,2011-02-15T10:58:23.000,2011-02-15T13:27:18.000,2011-02-15T13:27:18.000,2011-05-13T00:00:00.000,complete,2011-05-13T00:00:00.000,2591,Post,St,94115.0,apartments,apartments,3.0,3.0,15000.0,15000.0,N,Y,2.0,Presidio Heights,1230417465246,2025-08-07T23:55:01.000,POINT (-122.444323422 37.783440377),eas_address_point
201102150258,8,otc alterations permit,2011-02-15T00:00:00.000,3774,001,2011-02-15T11:06:19.000,2011-02-15T12:04:13.000,2011-02-15T11:56:59.000,,expired,2013-10-08T15:33:59.000,301,Bryant,St,94107.0,apartments,apartments,38.0,38.0,7000.0,7000.0,N,Y,6.0,Financial District/South Beach,1230419167180,2025-08-07T23:55:01.000,POINT (-122.391426632 37.784511899),eas_address_point
201102150259,8,otc alterations permit,2011-02-15T00:00:00.000,7103,016,2011-02-15T11:13:30.000,2011-02-22T13:25:13.000,2011-02-22T13:25:13.000,2011-03-14T00:00:00.000,complete,2011-03-14T00:00:00.000,78,Farallones,St,94112.0,1 family dwelling,1 family dwelling,1.0,1.0,3000.0,3000.0,N,Y,11.0,Oceanview/Merced/Ingleside,1230421221574,2025-08-07T23:55:01.000,POINT (-122.455136311 37.714337247),eas_address_point
201102150260,8,otc alterations permit,2011-02-15T00:00:00.000,1469A,020,2011-02-15T11:21:16.000,2011-02-15T11:28:48.000,2011-02-15T11:28:48.000,2011-04-27T00:00:00.000,complete,2011-04-27T00:00:00.000,61,Shore View,Av,94121.0,1 family dwelling,1 family dwelling,1.0,1.0,20000.0,20000.0,N,Y,1.0,Outer Richmond,1230422101070,2025-08-07T23:55:01.000,POINT (-122.497972404 37.780268359),eas_address_point
201102150262,8,otc alterations permit,2011-02-15T00:00:00.000,0958,017,2011-02-15T11:27:38.000,2011-03-08T10:19:20.000,2011-03-08T10:19:20.000,,expired,2014-05-07T15:31:09.000,2865,Vallejo,St,94123.0,1 family dwelling,1 family dwelling,1.0,1.0,30000.0,30000.0,N,Y,2.0,Pacific Heights,123042485369,2025-08-07T23:55:01.000,POINT (-122.444385046 37.793759931),eas_address_point
201102150263,8,otc alterations permit,2011-02-15T00:00:00.000,0962,007,2011-02-15T11:35:34.000,2011-03-21T10:56:39.000,2011-03-21T10:56:39.000,2012-06-07T00:00:00.000,complete,2012-06-07T00:00:00.000,2830,Pacific,Av,94115.0,1 family dwelling,1 family dwelling,1.0,1.0,5000.0,5000.0,N,Y,2.0,Pacific Heights,123042585464,2025-08-07T23:55:01.000,POINT (-122.442365552 37.792682151),eas_address_point
201102150264,3,additions alterations or repairs,2011-02-15T00:00:00.000,0322A,001,2011-02-15T11:46:48.000,,,,cancelled,2013-06-28T13:21:57.000,631,Ofarrell,St,94109.0,apartments,apartments,186.0,186.0,65000.0,,N,Y,5.0,Tenderloin,1230429471036,2025-08-07T23:55:01.000,POINT (-122.415120403 37.785239992),eas_address_point
201102150265,3,additions alterations or repairs,2011-02-15T00:00:00.000,0962,007,2011-02-15T11:48:26.000,2011-06-23T08:16:12.000,2011-06-21T14:04:23.000,2012-06-07T00:00:00.000,complete,2012-06-07T00:00:00.000,2830,Pacific,Av,94115.0,prkng garage/private,prkng garage/private,,,30000.0,30000.0,N,Y,2.0,Pacific Heights,123042885464,2025-08-07T23:55:01.000,POINT (-122.442365552 37.792682151),eas_address_point
201102150266,8,otc alterations permit,2011-02-15T00:00:00.000,1186,018A,2011-02-15T11:51:45.000,2011-02-15T12:24:57.000,2011-02-15T12:24:57.000,,issued,2011-02-15T12:24:57.000,1785,Fulton,St,94117.0,food/beverage hndlng,food/beverage hndlng,0.0,0.0,1.0,1.0,N,Y,5.0,Lone Mountain/USF,1230430381509,2025-08-07T23:55:01.000,POINT (-122.446030566 37.775693332),eas_address_point
201102150267,8,otc alterations permit,2011-02-15T00:00:00.000,0466A,010,2011-02-15T11:52:12.000,2011-03-04T14:02:02.000,2011-03-04T14:02:02.000,2012-02-21T00:00:00.000,complete,2012-02-21T00:00:00.000,20,Toledo,Wy,94123.0,2 family dwelling,2 family dwelling,2.0,2.0,53000.0,53000.0,N,Y,2.0,Marina,123043171118,2025-08-07T23:55:01.000,POINT (-122.437972341 37.801651576),eas_address_point
201102150268,8,otc alterations permit,2011-02-15T00:00:00.000,2959,025,2011-02-15T11:52:36.000,2011-02-15T13:17:32.000,2011-02-15T13:17:32.000,2011-06-13T00:00:00.000,complete,2011-06-13T00:00:00.000,75,Chaves,Av,94127.0,1 family dwelling,1 family dwelling,1.0,1.0,3800.0,3800.0,N,Y,7.0,West of Twin Peaks,1230432148064,2025-08-07T23:55:01.000,POINT (-122.453415911 37.742247708),eas_address_point
201102150269,8,otc alterations permit,2011-02-15T00:00:00.000,1186,018A,2011-02-15T12:01:15.000,2011-02-15T12:24:02.000,2011-02-15T12:24:02.000,,issued,2011-02-15T12:24:02.000,1785,Fulton,St,94117.0,food/beverage hndlng,food/beverage hndlng,0.0,0.0,1.0,1.0,N,Y,5.0,Lone Mountain/USF,1230438381509,2025-08-07T23:55:01.000,POINT (-122.446030566 37.775693332),eas_address_point
201102150270,8,otc alterations permit,2011-02-15T00:00:00.000,1186,018A,2011-02-15T12:01:15.000,2011-02-15T12:24:19.000,2011-02-15T12:24:19.000,,issued,2011-02-15T12:24:19.000,1785,Fulton,St,94117.0,food/beverage hndlng,food/beverage hndlng,0.0,0.0,2500.0,2500.0,N,Y,5.0,Lone Mountain/USF,1230434381509,2025-08-07T23:55:01.000,POINT (-122.446030566 37.775693332),eas_address_point
201102150271,8,otc alterations permit,2011-02-15T00:00:00.000,1186,018A,2011-02-15T12:01:16.000,2011-02-15T12:24:38.000,2011-02-15T12:24:38.000,,issued,2011-02-15T12:24:38.000,1785,Fulton,St,94117.0,food/beverage hndlng,food/beverage hndlng,0.0,0.0,10000.0,10000.0,N,Y,5.0,Lone Mountain/USF,1230433381509,2025-08-07T23:55:01.000,POINT (-122.446030566 37.775693332),eas_address_point
