OBJECTID,SRA,FHSZ,FHSZ_Description,Shape__Area,Shape__Length
6030,LRA,-3,NonWildland,20465191987.204483,3909087.7803466534
6650,LRA,1,Moderate,223479.3725733757,7610.487393800437
7048,LRA,2,High,203805.02988696098,5757.743301561199
7237,LRA,3,Very High,28017.747984409332,1331.8828574358754
7342,LRA,-3,NonWildland,100800.0,1620.0000000074506
7347,LRA,-3,NonWildland,931500.0000076294,7919.999999996275
7349,LRA,-3,NonWildland,1682.685263633728,255.16184372722574
7350,LRA,-3,NonWildland,307.81638288497925,95.3415554782878
7351,LRA,-3,NonWildland,66.83858966827393,49.96499417526492
7352,LRA,-3,NonWildland,331.31032705307007,77.62333049409239
7353,LRA,-3,NonWildland,51.049561977386475,37.26494280791067
7354,LRA,-3,NonWildland,50.35524129867554,38.16057621801545
7355,LRA,-3,NonWildland,649.1678595542908,117.50058078845214
7356,LRA,-3,NonWildland,56.270440101623535,54.03991665019159
7357,LRA,-3,NonWildland,1119.128221988678,135.24298227723077
7358,LRA,-3,NonWildland,292.85517501831055,82.94045891132593
7359,LRA,-3,NonWildland,264.9429078102112,84.63232188006425
7360,LRA,-3,NonWildland,2.3775882720947266,7.445464870822531
7361,LRA,-3,NonWildland,10.464820861816406,15.81354807141954
7362,LRA,-3,NonWildland,385.21397066116333,157.48384091179057
7363,LRA,-3,NonWildland,1651.5983052253723,293.2052458995991
7364,LRA,-3,NonWildland,187.99730348587036,65.0972748060643
7365,LRA,-3,NonWildland,723.5180368423462,141.42137774242812
7366,LRA,-3,NonWildland,82.64687013626099,67.13142149078473
7367,LRA,-3,NonWildland,99.20047760009766,43.36945671439769
7368,LRA,-3,NonWildland,10.659958362579346,25.610710880519495
7369,LRA,-3,NonWildland,76.75609970092773,56.411310824869226
7370,LRA,-3,NonWildland,728.5991520881653,153.5670550938364
7371,LRA,-3,NonWildland,899.2752022743225,174.83252507499245
7372,LRA,-3,NonWildland,21.391173362731934,25.310845466401123
7373,LRA,-3,NonWildland,658.9886441230774,110.54330618518347
7374,LRA,-3,NonWildland,1898.8299951553345,334.8494287249813
7375,LRA,-3,NonWildland,807.5705060958862,135.95461072977326
7376,LRA,-3,NonWildland,540.7184524536133,129.64877361208275
7377,LRA,-3,NonWildland,52.07728052139282,41.33165435238363
7378,LRA,-3,NonWildland,493.8531241416931,109.02437972845098
7379,LRA,-3,NonWildland,123.68227863311768,57.03052526096852
7380,LRA,-3,NonWildland,1812.4227528572083,309.43042535175647
7381,LRA,-3,NonWildland,2062.2804503440857,341.00329081763516
7383,LRA,-3,NonWildland,7100.857263088226,803.1638738605972
7384,LRA,-3,NonWildland,5.515413284301758,12.063459680165462
7385,LRA,-3,NonWildland,60.41770648956299,34.703792549703195
7386,LRA,-3,NonWildland,47.126296520233154,33.953776936887984
7387,LRA,-3,NonWildland,28.955610752105713,31.144429783495617
7388,LRA,-3,NonWildland,203.5221357345581,67.68932709481264
7389,LRA,-3,NonWildland,599.5447359085083,119.4511958103242
7390,LRA,-3,NonWildland,1407.9560918807983,229.0714197249004
7391,LRA,-3,NonWildland,38.24361610412598,31.379831251574736
7392,LRA,-3,NonWildland,144.69547700881958,70.19028100800818
7393,LRA,-3,NonWildland,387.3015832901001,111.02534893265724
7394,LRA,-3,NonWildland,95400.00000047684,2220.0000000037253
7395,LRA,-3,NonWildland,1036.0259079933167,227.39352775251535
7396,LRA,-3,NonWildland,8670810.72230792,32351.011306796307
7397,LRA,-3,NonWildland,130.62464714050293,56.15926112755101
7398,LRA,-3,NonWildland,153.16530418395996,56.23059508694372
7399,LRA,-3,NonWildland,483.5037479400635,198.12007454469236
7400,LRA,-3,NonWildland,91.67704010009766,44.03879774409053
7401,LRA,-3,NonWildland,66.90686583518982,40.71882699130326
7402,LRA,-3,NonWildland,46.51913285255432,32.498597283187955
7403,LRA,-3,NonWildland,137.7351188659668,76.88204954864834
7404,LRA,-3,NonWildland,0.30124711990356445,2.680693836137592
7405,LRA,-3,NonWildland,286.06338596343994,97.7853982416616
7406,LRA,-3,NonWildland,75.1417305469513,38.85983345478901
7407,LRA,-3,NonWildland,662400.0,5940.000000003725
7408,LRA,-3,NonWildland,819.7717974185944,169.34581282250633
7409,LRA,-3,NonWildland,145.1024148464203,79.21820616330803
7410,LRA,-3,NonWildland,500.70508193969727,101.9500389589733
7411,LRA,-3,NonWildland,7.191366195678711,13.39794969411405
7412,LRA,-3,NonWildland,112.58419561386108,46.82836046638053
7413,LRA,-3,NonWildland,219.89438796043396,65.13280294110163
7414,LRA,-3,NonWildland,8.760793685913086,15.212408450752683
7415,LRA,-3,NonWildland,876.3139839172363,189.39669311002675
7416,LRA,-3,NonWildland,27.7145574092865,29.46375933853969
7417,LRA,-3,NonWildland,84.28623485565186,47.555437358728696
7418,LRA,-3,NonWildland,284.5630054473877,105.71696718713753
7419,LRA,-3,NonWildland,159.74951696395874,68.51845754749209
7420,LRA,-3,NonWildland,85.60355639457703,48.63944437272167
7421,LRA,-3,NonWildland,519.5130121707916,126.27750279972386
7422,LRA,-3,NonWildland,1.515124797821045,6.004287460719791
7423,LRA,-3,NonWildland,8.79130744934082,26.000353901684413
7424,LRA,-3,NonWildland,105.21571397781372,67.37612184721614
7425,LRA,-3,NonWildland,240.8601770401001,70.08000026343511
7426,LRA,-3,NonWildland,47.078770875930786,74.56910226035245
7427,LRA,-3,NonWildland,361.2027111053467,86.96328877866854
7428,LRA,-3,NonWildland,885.8482658863068,201.55054676492847
7429,LRA,-3,NonWildland,655.2818036079407,113.74885386351961
7430,LRA,-3,NonWildland,105.01151990890503,53.5415743796732
