permit_number,permit_type,permit_type_definition,permit_creation_date,block,lot,filed_date,issued_date,approved_date,completed_date,status,status_date,street_number,street_name,street_suffix,zipcode,existing_use,proposed_use,existing_units,proposed_units,estimated_cost,revised_cost,adu,primary_address_flag,supervisor_district,neighborhoods_analysis_boundaries,record_id,data_as_of,location,point_source
201108222965,8,otc alterations permit,2011-08-22T00:00:00.000,0622,063,2011-08-22T14:23:47.000,2011-08-22T14:50:27.000,2011-08-22T14:50:27.000,2012-02-24T00:00:00.000,complete,2012-02-24T00:00:00.000,1776,Sacramento,St,94109.0,apartments,apartments,51.0,51.0,20000.0,20000.0,N,Y,3.0,Nob Hill,124738076566,2025-08-07T23:55:01.000,POINT (-122.422098201 37.791618309),eas_address_point
201108222966,8,otc alterations permit,2011-08-22T00:00:00.000,1754,016,2011-08-22T14:30:54.000,2011-08-22T14:37:11.000,2011-08-22T14:37:11.000,2012-08-15T00:00:00.000,complete,2012-08-15T00:00:00.000,1276,06th,Av,94122.0,apartments,apartments,3.0,3.0,1500.0,1500.0,N,Y,7.0,Inner Sunset,1247382112833,2025-08-07T23:55:01.000,POINT (-122.462843476 37.764571605),eas_address_point
201108222967,8,otc alterations permit,2011-08-22T00:00:00.000,4100,008,2011-08-22T14:34:40.000,2011-08-22T15:59:06.000,2011-08-22T15:59:06.000,2018-02-06T14:35:14.000,complete,2018-02-06T14:35:14.000,628,Missouri,St,94107.0,1 family dwelling,1 family dwelling,1.0,1.0,100.0,100.0,N,Y,10.0,Potrero Hill,1247383170603,2025-08-07T23:55:01.000,POINT (-122.396439299 37.758400967),eas_address_point
201108222968,8,otc alterations permit,2011-08-22T00:00:00.000,0235,022,2011-08-22T14:36:58.000,2011-08-23T13:34:10.000,2011-08-23T13:34:10.000,2012-01-06T15:23:46.000,complete,2012-01-06T15:23:46.000,50,California,St,94111.0,office,office,0.0,0.0,8000.0,8000.0,N,Y,3.0,Financial District/South Beach,124738463364,2025-08-07T23:55:01.000,POINT (-122.397347692 37.794053198),eas_address_point
201108222969,8,otc alterations permit,2011-08-22T00:00:00.000,1533,028,2011-08-22T14:42:06.000,2011-08-22T14:51:23.000,2011-08-22T14:51:23.000,2011-09-06T00:00:00.000,complete,2011-09-06T00:00:00.000,462,12th,Av,94118.0,2 family dwelling,2 family dwelling,2.0,2.0,2500.0,2500.0,N,Y,1.0,Inner Richmond,1247385103179,2025-08-07T23:55:01.000,POINT (-122.470287041 37.779509989),eas_address_point
201108222970,3,additions alterations or repairs,2011-08-22T00:00:00.000,0326,002,2011-08-22T14:43:12.000,2011-12-08T13:52:21.000,2011-11-22T13:18:37.000,,issued,2011-12-08T13:52:21.000,161,Powell,St,94102.0,tourist hotel/motel,tourist hotel/motel,104.0,104.0,170000.0,72000.0,N,,3.0,Tenderloin,1247387266372,2025-08-07T23:55:01.000,POINT (-122.408325513 37.78616151),eas_address_point
201108222970,3,additions alterations or repairs,2011-08-22T00:00:00.000,0326,002,2011-08-22T14:43:12.000,2011-12-08T13:52:21.000,2011-11-22T13:18:37.000,,issued,2011-12-08T13:52:21.000,151,Powell,St,94102.0,tourist hotel/motel,tourist hotel/motel,104.0,104.0,170000.0,72000.0,N,Y,3.0,Tenderloin,124738669751,2025-08-07T23:55:01.000,POINT (-122.408325513 37.78616151),eas_address_point
201108222971,8,otc alterations permit,2011-08-22T00:00:00.000,5393,016,2011-08-22T14:43:34.000,2011-08-22T15:03:54.000,2011-08-22T15:03:54.000,,issued,2011-08-22T15:03:54.000,247,Charter Oak,Av,94124.0,1 family dwelling,1 family dwelling,1.0,1.0,7000.0,7000.0,N,Y,10.0,Bayview Hunters Point,1247390181463,2025-08-07T23:55:01.000,POINT (-122.404143372 37.733767886),eas_address_point
201108222972,3,additions alterations or repairs,2011-08-22T00:00:00.000,1270,026,2011-08-22T15:15:16.000,2011-10-17T12:12:11.000,2011-10-13T15:49:13.000,2012-06-12T00:00:00.000,complete,2012-06-12T00:00:00.000,880,Ashbury,St,94117.0,1 family dwelling,1 family dwelling,1.0,1.0,20000.0,45000.0,N,Y,8.0,Haight Ashbury,124739194829,2025-08-07T23:55:01.000,POINT (-122.445801233 37.765927195),eas_address_point
201108222973,8,otc alterations permit,2011-08-22T00:00:00.000,0641,004,2011-08-22T15:17:45.000,2011-08-23T15:27:46.000,2011-08-23T15:27:46.000,2011-09-13T00:00:00.000,complete,2011-09-13T00:00:00.000,1818,California,St,94109.0,apartments,apartments,3.0,3.0,1.0,1.0,N,Y,2.0,Pacific Heights,1247393236186,2025-08-07T23:55:01.000,POINT (-122.424521232 37.790400604),eas_address_point
