permit_number,permit_type,permit_type_definition,permit_creation_date,block,lot,filed_date,issued_date,approved_date,completed_date,status,status_date,street_number,street_name,street_suffix,zipcode,existing_use,proposed_use,existing_units,proposed_units,estimated_cost,revised_cost,adu,primary_address_flag,supervisor_district,neighborhoods_analysis_boundaries,record_id,data_as_of,location,point_source
202202037301,8,otc alterations permit,2022-02-03T00:00:00.000,5642,034,2022-02-03T14:46:46.000,2022-02-03T15:56:05.000,2022-02-03T15:56:05.000,2022-06-22T08:12:02.000,complete,2022-06-22T08:12:02.000,10,Godeus,St,94110,1 family dwelling,1 family dwelling,1.0,1.0,5000.0,5000.0,N,Y,9.0,Bernal Heights,1635169185513,2025-08-07T23:55:01.000,POINT (-122.421287195 37.742368085),eas_address_point
202202037302,8,otc alterations permit,2022-02-03T00:00:00.000,2196,044,2022-02-03T14:47:09.000,2022-02-03T15:21:39.000,2022-02-03T15:21:39.000,2023-01-17T10:45:05.000,complete,2023-01-17T10:45:05.000,2106,22nd,Av,94116,1 family dwelling,1 family dwelling,1.0,1.0,80000.0,80000.0,N,Y,4.0,Sunset/Parkside,1635168129549,2025-08-07T23:55:01.000,POINT (-122.478998804 37.74830597),eas_address_point
202202037303,8,otc alterations permit,2022-02-03T00:00:00.000,2695,012,2022-02-03T14:55:40.000,2022-02-03T15:46:16.000,2022-02-03T15:46:16.000,,issued,2022-02-03T15:46:16.000,574,Castro,St,94114,1 family dwelling,1 family dwelling,1.0,1.0,23000.0,23000.0,N,Y,8.0,Castro/Upper Market,1635170446972,2025-08-07T23:55:01.000,POINT (-122.435254557 37.759725942),eas_address_point
202202037304,2,new construction wood frame,2022-02-03T00:00:00.000,0145,018,2022-02-03T15:05:49.000,,,,filed,2022-02-03T15:05:49.000,65,Fresno,St,94133,,apartments,,5.0,8000.0,,Y,Y,3.0,North Beach,163517260475,2025-08-07T23:55:01.000,POINT (-122.406488182 37.798466281),eas_address_point
202202037305,8,otc alterations permit,2022-02-03T00:00:00.000,5411,045,2022-02-03T15:06:16.000,2022-02-03T15:29:02.000,2022-02-03T15:29:02.000,2022-02-23T09:56:42.000,complete,2022-02-23T09:56:42.000,5264,03rd,St,94124,apartments,apartments,8.0,8.0,450.0,450.0,N,Y,10.0,Bayview Hunters Point,1635171482898,2025-08-07T23:55:01.000,POINT (-122.39281641 37.729828149),eas_address_point
202202037307,3,additions alterations or repairs,2022-02-03T00:00:00.000,0355,015,2022-02-03T15:20:31.000,2022-09-19T11:34:35.000,2022-09-19T11:34:35.000,,expired,2024-03-12T13:08:09.000,1200,Market,St,94102,food/beverage hndlng,food/beverage hndlng,,,1.0,1.0,N,Y,6.0,Tenderloin,163517470124,2025-08-07T23:55:01.000,POINT (-122.415277734 37.7786433),eas_address_point
202202037308,8,otc alterations permit,2022-02-03T00:00:00.000,1700,001,2022-02-03T15:35:46.000,2022-02-28T13:55:54.000,2022-02-28T13:55:54.000,,issued,2022-02-28T13:55:54.000,55,Hagiwara Tea Garden,Dr,94118,parking lot,parking lot,,,50000.0,50000.0,N,Y,7.0,Golden Gate Park,1635216491532,2025-08-07T23:55:01.000,POINT (-122.467509896 37.770612611),eas_address_point
202202037309,8,otc alterations permit,2022-02-03T00:00:00.000,0284,019,2022-02-03T15:44:49.000,2022-02-04T12:28:21.000,2022-02-04T12:28:21.000,2022-05-17T12:16:32.000,complete,2022-05-17T12:16:32.000,755,Bush,St,94108,apartments,apartments,27.0,27.0,31000.0,31000.0,N,Y,3.0,Nob Hill,163517566929,2025-08-07T23:55:01.000,POINT (-122.409705514 37.789753667),eas_address_point
202202037310,3,additions alterations or repairs,2022-02-03T00:00:00.000,7108,032A,2022-02-03T15:56:27.000,2023-01-30T14:22:02.000,2023-01-26T15:27:38.000,2023-07-06T15:11:49.000,complete,2023-07-06T15:11:49.000,85,Farallones,St,94112,1 family dwelling,1 family dwelling,1.0,1.0,20000.0,48150.0,N,Y,11.0,Oceanview/Merced/Ingleside,1635176221906,2025-08-07T23:55:01.000,POINT (-122.45542558 37.713789029),eas_address_point
202202027169,8,otc alterations permit,2022-02-02T11:04:15.000,3005,011,2022-02-02T11:04:15.000,2022-02-02T11:05:42.000,,2022-04-15T16:21:22.000,complete,2022-04-15T16:21:22.000,332,Cresta Vista,Dr,94127,2 family dwelling,2 family dwelling,,,26000.0,26000.0,N,Y,7.0,West of Twin Peaks,1635018149830,2025-08-07T23:55:01.000,POINT (-122.452665246 37.735413407),eas_address_point
202202027162,8,otc alterations permit,2022-02-02T10:51:19.000,2417,024,2022-02-02T10:51:19.000,2022-02-02T10:52:33.000,,2022-02-28T12:42:42.000,complete,2022-02-28T12:42:42.000,1541,Ulloa,St,94116,2 family dwelling,2 family dwelling,,,5000.0,5000.0,N,Y,7.0,West of Twin Peaks,1635012135242,2025-08-07T23:55:01.000,POINT (-122.473043171 37.741047831),eas_address_point
