permit_number,permit_type,permit_type_definition,permit_creation_date,block,lot,filed_date,issued_date,approved_date,completed_date,status,status_date,street_number,street_name,street_suffix,zipcode,existing_use,proposed_use,existing_units,proposed_units,estimated_cost,revised_cost,adu,primary_address_flag,supervisor_district,neighborhoods_analysis_boundaries,record_id,data_as_of,location,point_source
8702920,3,additions alterations or repairs,1987-03-05T00:00:00.000,0295,008,1987-03-05T00:00:00.000,1987-04-08T00:00:00.000,1987-04-06T00:00:00.000,1987-07-08T00:00:00.000,complete,1987-07-08T00:00:00.000,450,Powell,St,94102.0,retail sales,retail sales,350.0,350.0,40000.0,,N,Y,3.0,Financial District/South Beach,155023233628,2025-08-07T23:55:01.000,POINT (-122.408375012 37.78885302),eas_address_point
8609888,7,wall or painted sign,1986-08-13T00:00:00.000,7044A,004,1986-08-13T00:00:00.000,1986-08-27T00:00:00.000,1986-08-19T00:00:00.000,1992-05-13T00:00:00.000,complete,1992-05-13T00:00:00.000,5454,Mission,St,94112.0,,,,,,,N,Y,11.0,Outer Mission,771203362797,2025-08-07T23:55:01.000,POINT (-122.444591216 37.713198741),eas_address_point
8702921,4,sign - erect,1987-03-05T00:00:00.000,3705,007,1987-03-05T00:00:00.000,1987-03-25T00:00:00.000,1987-03-24T00:00:00.000,1987-04-02T00:00:00.000,complete,1987-04-02T00:00:00.000,814,Mission,St,94103.0,not applicable,,,,2500.0,,N,Y,6.0,South of Market,772048350834,2025-08-07T23:55:01.000,POINT (-122.404945204 37.784405233),eas_address_point
8702922,4,sign - erect,1987-03-05T00:00:00.000,3705,007,1987-03-05T00:00:00.000,1987-03-25T00:00:00.000,1987-03-24T00:00:00.000,1987-04-01T00:00:00.000,complete,1987-04-01T00:00:00.000,814,Mission,St,94103.0,not applicable,,,,2500.0,,N,Y,6.0,South of Market,772049350834,2025-08-07T23:55:01.000,POINT (-122.404945204 37.784405233),eas_address_point
8702923,3,additions alterations or repairs,1987-03-05T00:00:00.000,3787,017,1987-03-05T00:00:00.000,1987-04-07T00:00:00.000,1987-04-06T00:00:00.000,1988-04-19T00:00:00.000,complete,1988-04-19T00:00:00.000,18,Clyde,St,94107.0,apartments,apartments,6.0,6.0,32000.0,,N,Y,6.0,South of Market,155025249436,2025-08-07T23:55:01.000,POINT (-122.394073956 37.778591967),eas_address_point
8702924,3,additions alterations or repairs,1987-03-05T00:00:00.000,0974,002,1987-03-05T00:00:00.000,1987-05-05T00:00:00.000,1987-04-09T00:00:00.000,1987-12-03T00:00:00.000,complete,1987-12-03T00:00:00.000,2201,Lyon,St,94115.0,1 family dwelling,1 family dwelling,1.0,1.0,21000.0,,N,Y,2.0,Presidio Heights,15502685651,2025-08-07T23:55:01.000,POINT (-122.446340956 37.791243951),eas_address_point
8702925,3,additions alterations or repairs,1987-03-05T00:00:00.000,0244,001,1987-03-05T00:00:00.000,1987-04-10T00:00:00.000,1987-04-06T00:00:00.000,1988-05-17T00:00:00.000,complete,1988-05-17T00:00:00.000,950,Mason,St,94108.0,tourist hotel/motel,tourist hotel/motel,700.0,700.0,35000.0,,N,,3.0,Nob Hill,155029296508,2025-08-07T23:55:01.000,POINT (-122.410671906 37.792175242),eas_address_point
8702925,3,additions alterations or repairs,1987-03-05T00:00:00.000,0244,001,1987-03-05T00:00:00.000,1987-04-10T00:00:00.000,1987-04-06T00:00:00.000,1988-05-17T00:00:00.000,complete,1988-05-17T00:00:00.000,950,Mason,St,94108.0,tourist hotel/motel,tourist hotel/motel,700.0,700.0,35000.0,,N,,3.0,Nob Hill,155030296989,2025-08-07T23:55:01.000,POINT (-122.410671906 37.792175242),eas_address_point
8702925,3,additions alterations or repairs,1987-03-05T00:00:00.000,0244,001,1987-03-05T00:00:00.000,1987-04-10T00:00:00.000,1987-04-06T00:00:00.000,1988-05-17T00:00:00.000,complete,1988-05-17T00:00:00.000,950,Mason,St,94108.0,tourist hotel/motel,tourist hotel/motel,700.0,700.0,35000.0,,N,Y,3.0,Nob Hill,15502763517,2025-08-07T23:55:01.000,POINT (-122.410671906 37.792175242),eas_address_point
8702926,3,additions alterations or repairs,1987-03-05T00:00:00.000,1632,009M,1987-03-05T00:00:00.000,1987-07-10T00:00:00.000,1987-07-10T00:00:00.000,,expired,1988-02-10T00:00:00.000,680,Funston,Av,94118.0,office,office,1.0,1.0,25000.0,,N,Y,1.0,Inner Richmond,155031107681,2025-08-07T23:55:01.000,POINT (-122.471068859 37.775437565),eas_address_point
8702927,3,additions alterations or repairs,1987-03-05T00:00:00.000,1369,032,1987-03-05T00:00:00.000,1987-05-28T00:00:00.000,1987-05-21T00:00:00.000,,expired,1988-11-03T00:00:00.000,120,10th,Av,94118.0,2 family dwelling,2 family dwelling,2.0,2.0,34200.0,,N,Y,1.0,Inner Richmond,155033241847,2025-08-07T23:55:01.000,POINT (-122.468606068 37.785939303),eas_address_point
8702928,3,additions alterations or repairs,1987-03-05T00:00:00.000,0321,014,1987-03-05T00:00:00.000,1987-03-18T00:00:00.000,1987-03-17T00:00:00.000,1987-04-08T00:00:00.000,complete,1987-04-08T00:00:00.000,632,Ellis,St,94109.0,automobile sales,auto repairs,0.0,0.0,15000.0,,N,Y,5.0,Tenderloin,15503469485,2025-08-07T23:55:01.000,POINT (-122.416769588 37.784648291),eas_address_point
8702929,8,otc alterations permit,1987-03-05T00:00:00.000,7104,034,1987-03-05T00:00:00.000,1987-03-05T00:00:00.000,1987-03-05T00:00:00.000,1987-03-06T00:00:00.000,expired,1987-04-16T00:00:00.000,157,Lobos,St,94112.0,1 family dwelling,1 family dwelling,1.0,1.0,400.0,,N,Y,11.0,Oceanview/Merced/Ingleside,155035221681,2025-08-07T23:55:01.000,POINT (-122.457768765 37.714662389),eas_address_point
8702930,3,additions alterations or repairs,1987-03-05T00:00:00.000,0140,001,1987-03-05T00:00:00.000,1987-07-02T00:00:00.000,1987-03-16T00:00:00.000,,expired,1987-11-17T00:00:00.000,755,Davis,St,94111.0,office,office,0.0,0.0,100.0,,N,Y,3.0,Financial District/South Beach,772050361977,2025-08-07T23:55:01.000,POINT (-122.399182976 37.79950573),eas_address_point
8702931,8,otc alterations permit,1987-03-05T00:00:00.000,0533,005,1987-03-05T00:00:00.000,1987-03-05T00:00:00.000,1987-03-05T00:00:00.000,,expired,1987-07-20T00:00:00.000,2937,Webster,St,94123.0,apartments,apartments,3.0,3.0,2500.0,,N,Y,2.0,Marina,77205173335,2025-08-07T23:55:01.000,POINT (-122.43410474 37.797824426),eas_address_point
8702932,3,additions alterations or repairs,1987-03-05T00:00:00.000,2695,043,1987-03-05T00:00:00.000,1987-03-13T00:00:00.000,1987-03-12T00:00:00.000,1987-10-16T00:00:00.000,complete,1987-10-16T00:00:00.000,169,Collingwood,St,94114.0,apartments,apartments,3.0,3.0,9000.0,,N,Y,8.0,Castro/Upper Market,155036142011,2025-08-07T23:55:01.000,POINT (-122.435693807 37.75976866),eas_address_point
8702932,3,additions alterations or repairs,1987-03-05T00:00:00.000,2695,044,1987-03-05T00:00:00.000,1987-03-13T00:00:00.000,1987-03-12T00:00:00.000,1987-10-16T00:00:00.000,complete,1987-10-16T00:00:00.000,169,Collingwood,St,94114.0,apartments,apartments,3.0,3.0,9000.0,,N,,8.0,Castro/Upper Market,155037142012,2025-08-07T23:55:01.000,POINT (-122.435693807 37.75976866),eas_address_point
8702932,3,additions alterations or repairs,1987-03-05T00:00:00.000,2695,045,1987-03-05T00:00:00.000,1987-03-13T00:00:00.000,1987-03-12T00:00:00.000,1987-10-16T00:00:00.000,complete,1987-10-16T00:00:00.000,169,Collingwood,St,94114.0,apartments,apartments,3.0,3.0,9000.0,,N,,8.0,Castro/Upper Market,155038142013,2025-08-07T23:55:01.000,POINT (-122.435693807 37.75976866),eas_address_point
8702932,3,additions alterations or repairs,1987-03-05T00:00:00.000,2695,022,1987-03-05T00:00:00.000,1987-03-13T00:00:00.000,1987-03-12T00:00:00.000,1987-10-16T00:00:00.000,complete,1987-10-16T00:00:00.000,169,Collingwood,St,94114.0,apartments,apartments,3.0,3.0,9000.0,,N,,8.0,Castro/Upper Market,155039245861,2025-08-07T23:55:01.000,POINT (-122.435693807 37.75976866),eas_address_point
8702708,3,additions alterations or repairs,1987-03-04T00:00:00.000,1217,006,1987-03-04T00:00:00.000,1987-07-10T00:00:00.000,1987-03-05T00:00:00.000,1987-12-02T00:00:00.000,complete,1987-12-02T00:00:00.000,313,Scott,St,94117.0,1 family dwelling,1 family dwelling,1.0,1.0,18000.0,,N,Y,5.0,Haight Ashbury,15473392684,2025-08-07T23:55:01.000,POINT (-122.435959775 37.7728482),eas_address_point
8702711,4,sign - erect,1987-03-04T00:00:00.000,0489,008,1987-03-04T00:00:00.000,,,,cancelled,1987-12-11T00:00:00.000,2300,Lombard,St,94123.0,not applicable,,,,2000.0,,N,Y,2.0,Marina,15473671734,2025-08-07T23:55:01.000,POINT (-122.439527609 37.799553983),eas_address_point
8702712,4,sign - erect,1987-03-04T00:00:00.000,0489,008,1987-03-04T00:00:00.000,,,,cancelled,1988-02-03T00:00:00.000,2300,Lombard,St,94123.0,not applicable,,,,2000.0,,N,Y,2.0,Marina,15473771734,2025-08-07T23:55:01.000,POINT (-122.439527609 37.799553983),eas_address_point
8702748,3,additions alterations or repairs,1987-03-04T00:00:00.000,0039,013A,1987-03-04T00:00:00.000,1987-03-25T00:00:00.000,1987-03-20T00:00:00.000,,expired,1988-02-09T00:00:00.000,258,Francisco,St,94133.0,2 family dwelling,2 family dwelling,2.0,2.0,20000.0,,N,,3.0,North Beach,154782347463,2025-08-07T23:55:01.000,POINT (-122.409539502 37.805360597),eas_address_point
8702748,3,additions alterations or repairs,1987-03-04T00:00:00.000,0039,013A,1987-03-04T00:00:00.000,1987-03-25T00:00:00.000,1987-03-20T00:00:00.000,,expired,1988-02-09T00:00:00.000,256,Francisco,St,94133.0,2 family dwelling,2 family dwelling,2.0,2.0,20000.0,,N,Y,3.0,North Beach,15478156402,2025-08-07T23:55:01.000,POINT (-122.409539502 37.805360597),eas_address_point
