permit_number,permit_type,permit_type_definition,permit_creation_date,block,lot,filed_date,issued_date,approved_date,completed_date,status,status_date,street_number,street_name,street_suffix,zipcode,existing_use,proposed_use,existing_units,proposed_units,estimated_cost,revised_cost,adu,primary_address_flag,supervisor_district,neighborhoods_analysis_boundaries,record_id,data_as_of,location,point_source
201311071340,8,otc alterations permit,2013-11-07T00:00:00.000,6732,027,2013-11-07T09:45:59.000,2013-11-07T12:42:32.000,2013-11-07T12:42:32.000,2014-02-07T15:23:35.000,complete,2014-02-07T15:23:35.000,930,Chenery,St,94131,2 family dwelling,2 family dwelling,2.0,2.0,3500.0,2000.0,N,Y,8.0,Glen Park,1323456211672,2025-08-07T23:55:01.000,POINT (-122.437513817 37.735441475),eas_address_point
201311071340,8,otc alterations permit,2013-11-07T00:00:00.000,6732,027,2013-11-07T09:45:59.000,2013-11-07T12:42:32.000,2013-11-07T12:42:32.000,2014-02-07T15:23:35.000,complete,2014-02-07T15:23:35.000,932,Chenery,St,94131,2 family dwelling,2 family dwelling,2.0,2.0,3500.0,2000.0,N,,8.0,Glen Park,1323457454123,2025-08-07T23:55:01.000,POINT (-122.437513817 37.735441475),eas_address_point
201311071341,3,additions alterations or repairs,2013-11-07T00:00:00.000,3529,048,2013-11-07T09:50:53.000,2013-11-21T12:30:15.000,2013-11-21T12:30:15.000,,issued,2013-11-21T12:30:15.000,1701,Folsom,St,94103,vacant lot,retail sales,,,1.0,1.0,N,Y,9.0,Mission,1323460156884,2025-08-07T23:55:01.000,POINT (-122.41533217 37.769391612),eas_address_point
201311071342,8,otc alterations permit,2013-11-07T00:00:00.000,1210,034,2013-11-07T09:55:41.000,2013-11-07T11:55:56.000,2013-11-07T11:55:56.000,2013-11-15T15:32:01.000,complete,2013-11-15T15:32:01.000,1951,Hayes,St,94117,apartments,apartments,3.0,3.0,1.0,1.0,N,,5.0,Lone Mountain/USF,1323463259983,2025-08-07T23:55:01.000,POINT (-122.448520605 37.773503867),eas_address_point
201311071342,8,otc alterations permit,2013-11-07T00:00:00.000,1210,034,2013-11-07T09:55:41.000,2013-11-07T11:55:56.000,2013-11-07T11:55:56.000,2013-11-15T15:32:01.000,complete,2013-11-15T15:32:01.000,1953,Hayes,St,94117,apartments,apartments,3.0,3.0,1.0,1.0,N,,5.0,Lone Mountain/USF,1323464259984,2025-08-07T23:55:01.000,POINT (-122.448524628 37.773507048),eas_address_point
201311071342,8,otc alterations permit,2013-11-07T00:00:00.000,1210,034,2013-11-07T09:55:41.000,2013-11-07T11:55:56.000,2013-11-07T11:55:56.000,2013-11-15T15:32:01.000,complete,2013-11-15T15:32:01.000,1949,Hayes,St,94117,apartments,apartments,3.0,3.0,1.0,1.0,N,Y,5.0,Lone Mountain/USF,1323462401503,2025-08-07T23:55:01.000,POINT (-122.448520605 37.773501747),eas_address_point
201311071343,8,otc alterations permit,2013-11-07T00:00:00.000,1832,032,2013-11-07T09:58:34.000,2013-11-07T10:04:07.000,2013-11-07T10:04:07.000,,issued,2013-11-07T10:04:07.000,1450,22nd,Av,94122,1 family dwelling,1 family dwelling,1.0,1.0,6000.0,6000.0,N,Y,4.0,Sunset/Parkside,1323461116387,2025-08-07T23:55:01.000,POINT (-122.479807833 37.76056554),eas_address_point
201311071344,8,otc alterations permit,2013-11-07T00:00:00.000,2404,010,2013-11-07T10:04:39.000,2013-11-07T10:17:26.000,2013-11-07T10:17:26.000,2014-10-20T00:00:00.000,complete,2014-10-20T00:00:00.000,2451,21st,Av,94116,1 family dwelling,1 family dwelling,1.0,1.0,4800.0,4800.0,N,Y,4.0,Sunset/Parkside,1323466134643,2025-08-07T23:55:01.000,POINT (-122.478093415 37.741962156),eas_address_point
201311071345,8,otc alterations permit,2013-11-07T00:00:00.000,2435,001I,2013-11-07T10:25:25.000,2013-11-15T11:24:55.000,2013-11-15T11:24:55.000,2014-05-01T15:23:53.000,complete,2014-05-01T15:23:53.000,2500,35th,Av,94116,1 family dwelling,1 family dwelling,1.0,1.0,50000.0,90000.0,N,Y,4.0,Sunset/Parkside,1323467135978,2025-08-07T23:55:01.000,POINT (-122.492411349 37.74029907),eas_address_point
201311071346,8,otc alterations permit,2013-11-07T00:00:00.000,2992,007,2013-11-07T10:28:38.000,2013-11-07T10:34:37.000,2013-11-07T10:34:37.000,2013-11-14T14:59:24.000,complete,2013-11-14T14:59:24.000,443,Lansdale,Av,94127,1 family dwelling,1 family dwelling,1.0,1.0,10000.0,10000.0,N,Y,7.0,West of Twin Peaks,1323468149175,2025-08-07T23:55:01.000,POINT (-122.456242593 37.73628614),eas_address_point
201311071347,8,otc alterations permit,2013-11-07T00:00:00.000,7013,012,2013-11-07T10:30:45.000,2013-11-07T10:36:36.000,2013-11-07T10:36:36.000,2013-12-09T15:29:10.000,complete,2013-12-09T15:29:10.000,239,Faxon,Av,94112,1 family dwelling,1 family dwelling,1.0,1.0,9180.0,9180.0,N,Y,11.0,Oceanview/Merced/Ingleside,1323470217584,2025-08-07T23:55:01.000,POINT (-122.460529737 37.718944826),eas_address_point
201311071349,8,otc alterations permit,2013-11-07T00:00:00.000,1254,041,2013-11-07T10:31:50.000,2013-11-07T10:38:23.000,2013-11-07T10:38:23.000,2014-03-20T15:47:52.000,complete,2014-03-20T15:47:52.000,730,Clayton,St,94117,2 family dwelling,2 family dwelling,2.0,2.0,100000.0,100000.0,N,,5.0,Haight Ashbury,1323471369272,2025-08-07T23:55:01.000,POINT (-122.447969304 37.768301079),eas_address_point
201311071349,8,otc alterations permit,2013-11-07T00:00:00.000,1254,041,2013-11-07T10:31:50.000,2013-11-07T10:38:23.000,2013-11-07T10:38:23.000,2014-03-20T15:47:52.000,complete,2014-03-20T15:47:52.000,728,Clayton,St,94117,2 family dwelling,2 family dwelling,2.0,2.0,100000.0,100000.0,N,Y,5.0,Haight Ashbury,132346993947,2025-08-07T23:55:01.000,POINT (-122.447969304 37.768301079),eas_address_point
201311071350,8,otc alterations permit,2013-11-07T00:00:00.000,6154,004A,2013-11-07T10:42:44.000,2013-11-07T10:49:33.000,2013-11-07T10:49:33.000,2014-06-05T15:36:28.000,complete,2014-06-05T15:36:28.000,842,Brussels,St,94134,1 family dwelling,1 family dwelling,1.0,1.0,4000.0,9837.0,N,Y,9.0,Portola,1323472197016,2025-08-07T23:55:01.000,POINT (-122.403656122 37.721671778),eas_address_point
201311071352,8,otc alterations permit,2013-11-07T00:00:00.000,1939,001,2013-11-07T10:45:02.000,2013-12-18T09:02:53.000,2013-12-18T09:02:53.000,,issued,2013-12-18T09:02:53.000,1115,Keppler,Ct,94130,apartments,apartments,6.0,6.0,25000.0,25000.0,N,Y,6.0,Treasure Island,1323518488971,2025-08-07T23:55:01.000,POINT (-122.377090422 37.82747688),eas_address_point
201311071353,8,otc alterations permit,2013-11-07T00:00:00.000,3533,001,2013-11-07T10:58:59.000,2013-11-12T12:06:27.000,2013-11-12T12:06:27.000,2014-08-05T18:18:21.000,complete,2014-08-05T18:18:21.000,101,Duboce,Av,94103,apartments,apartments,7.0,7.0,4000.0,8000.0,N,Y,9.0,Mission,1323475246615,2025-08-07T23:55:01.000,POINT (-122.42264742 37.769696508),eas_address_point
201311071353,8,otc alterations permit,2013-11-07T00:00:00.000,3533,001,2013-11-07T10:58:59.000,2013-11-12T12:06:27.000,2013-11-12T12:06:27.000,2014-08-05T18:18:21.000,complete,2014-08-05T18:18:21.000,109,Duboce,Av,94103,apartments,apartments,7.0,7.0,4000.0,8000.0,N,,9.0,Mission,1323476284806,2025-08-07T23:55:01.000,POINT (-122.42264742 37.769696508),eas_address_point
201311071354,8,otc alterations permit,2013-11-07T00:00:00.000,1419,007,2013-11-07T11:01:26.000,2013-11-07T15:34:58.000,2013-11-07T15:34:58.000,,expired,2019-06-24T15:44:28.000,239,14th,Av,94118,1 family dwelling,1 family dwelling,1.0,1.0,88000.0,98000.0,N,Y,1.0,Outer Richmond,132347798964,2025-08-07T23:55:01.000,POINT (-122.473406134 37.783580225),eas_address_point
201311071355,8,otc alterations permit,2013-11-07T00:00:00.000,5520,035,2013-11-07T11:09:28.000,2013-11-07T11:16:08.000,2013-11-07T11:16:08.000,2013-11-20T15:15:58.000,complete,2013-11-20T15:15:58.000,60,Montezuma,St,94110,apartments,apartments,5.0,5.0,1000.0,2500.0,N,Y,9.0,Bernal Heights,1323478183353,2025-08-07T23:55:01.000,POINT (-122.415918073 37.745832444),eas_address_point
201311071355,8,otc alterations permit,2013-11-07T00:00:00.000,5520,035,2013-11-07T11:09:28.000,2013-11-07T11:16:08.000,2013-11-07T11:16:08.000,2013-11-20T15:15:58.000,complete,2013-11-20T15:15:58.000,64,Montezuma,St,94110,apartments,apartments,5.0,5.0,1000.0,2500.0,N,,9.0,Bernal Heights,1323479278676,2025-08-07T23:55:01.000,POINT (-122.415918073 37.745832444),eas_address_point
201311071356,8,otc alterations permit,2013-11-07T00:00:00.000,3707,001,2013-11-07T11:10:44.000,2013-11-20T16:00:58.000,2013-11-20T16:00:58.000,2014-03-25T15:08:06.000,complete,2014-03-25T15:08:06.000,601,Market,St,94105,retail sales,retail sales,,,500.0,500.0,N,Y,6.0,Financial District/South Beach,1323481164469,2025-08-07T23:55:01.000,POINT (-122.401288262 37.788946965),eas_address_point
201311071357,3,additions alterations or repairs,2013-11-07T00:00:00.000,4098,002A,2013-11-07T11:16:19.000,2015-01-28T11:16:21.000,2014-12-02T15:18:48.000,,issued,2015-01-28T11:16:21.000,588,Arkansas,St,94107,1 family dwelling,1 family dwelling,1.0,1.0,300000.0,450000.0,N,Y,10.0,Potrero Hill,1323480170469,2025-08-07T23:55:01.000,POINT (-122.398415191 37.75872767),eas_address_point
201311071358,8,otc alterations permit,2013-11-07T00:00:00.000,0326,020,2013-11-07T11:26:14.000,2013-11-19T11:53:34.000,2013-11-19T11:53:34.000,,expired,2021-08-23T14:54:44.000,222,Mason,St,94102,tourist hotel/motel,tourist hotel/motel,529.0,528.0,580000.0,580000.0,N,Y,5.0,Tenderloin,1323483301257,2025-08-07T23:55:01.000,POINT (-122.409430018 37.785683956),eas_address_point
201311071359,8,otc alterations permit,2013-11-07T00:00:00.000,0521,027,2013-11-07T11:32:51.000,2013-11-07T12:37:47.000,2013-11-07T12:37:47.000,,issued,2013-11-07T12:37:47.000,10,Imperial,Al,94123,1 family dwelling,1 family dwelling,,,3500.0,3500.0,N,Y,2.0,Marina,132349872905,2025-08-07T23:55:01.000,POINT (-122.426918991 37.799761119),eas_address_point
201311071360,8,otc alterations permit,2013-11-07T00:00:00.000,0668,083,2013-11-07T11:36:13.000,2013-11-12T14:26:53.000,2013-11-12T14:26:53.000,2014-01-03T14:24:32.000,complete,2014-01-03T14:24:32.000,1463,Pine,St,94109,office,office,35.0,35.0,5000.0,9000.0,N,Y,3.0,Nob Hill,1323485494147,2025-08-07T23:55:01.000,POINT (-122.419752513 37.789552956),eas_address_point
201311071361,8,otc alterations permit,2013-11-07T00:00:00.000,2522,010,2013-11-07T11:38:16.000,2014-01-07T10:32:15.000,2014-01-07T10:32:15.000,2014-01-21T00:00:00.000,complete,2014-01-21T00:00:00.000,1740,Sloat,Bl,94116,church,church,0.0,0.0,9000.0,9000.0,N,Y,4.0,Sunset/Parkside,1323484138585,2025-08-07T23:55:01.000,POINT (-122.491895939 37.734323944),eas_address_point
201311071362,8,otc alterations permit,2013-11-07T00:00:00.000,0668,083,2013-11-07T11:46:35.000,2013-11-12T14:26:14.000,2013-11-12T14:26:14.000,2014-01-31T15:04:22.000,complete,2014-01-31T15:04:22.000,1465,Pine,St,94109,office,office,35.0,35.0,1.0,1.0,N,Y,3.0,Nob Hill,1323487494149,2025-08-07T23:55:01.000,POINT (-122.419816728 37.789557084),eas_address_point
201311071363,8,otc alterations permit,2013-11-07T00:00:00.000,0242,005,2013-11-07T11:51:26.000,2013-11-07T13:28:48.000,2013-11-07T13:28:48.000,2013-12-09T12:41:57.000,complete,2013-12-09T12:41:57.000,720,California,St,94108,office,office,0.0,0.0,45984.0,45984.0,N,Y,3.0,Chinatown,1323488296611,2025-08-07T23:55:01.000,POINT (-122.406551028 37.792668518),eas_address_point
201311071364,8,otc alterations permit,2013-11-07T00:00:00.000,4991,277,2013-11-07T11:52:20.000,2013-11-08T07:51:10.000,2013-11-08T07:51:10.000,2014-04-01T07:26:57.000,complete,2014-04-01T07:26:57.000,843,Jamestown,Av,94124,apartments,apartments,18.0,18.0,1.0,1.0,N,Y,10.0,Bayview Hunters Point,1323489436487,2025-08-07T23:55:01.000,POINT (-122.392222474 37.717174176),eas_address_point
201311071364,8,otc alterations permit,2013-11-07T00:00:00.000,4991,277,2013-11-07T11:52:20.000,2013-11-08T07:51:10.000,2013-11-08T07:51:10.000,2014-04-01T07:26:57.000,complete,2014-04-01T07:26:57.000,847,Jamestown,Av,94124,apartments,apartments,18.0,18.0,1.0,1.0,N,,10.0,Bayview Hunters Point,1323490436488,2025-08-07T23:55:01.000,POINT (-122.392222474 37.717174176),eas_address_point
201311071365,8,otc alterations permit,2013-11-07T00:00:00.000,4991,277,2013-11-07T11:56:35.000,2013-11-08T07:53:53.000,2013-11-08T07:53:53.000,2014-04-01T07:17:12.000,complete,2014-04-01T07:17:12.000,843,Jamestown,Av,94124,apartments,apartments,18.0,18.0,1.0,1.0,N,Y,10.0,Bayview Hunters Point,1323579436487,2025-08-07T23:55:01.000,POINT (-122.392222474 37.717174176),eas_address_point
201311071365,8,otc alterations permit,2013-11-07T00:00:00.000,4991,277,2013-11-07T11:56:35.000,2013-11-08T07:53:53.000,2013-11-08T07:53:53.000,2014-04-01T07:17:12.000,complete,2014-04-01T07:17:12.000,847,Jamestown,Av,94124,apartments,apartments,18.0,18.0,1.0,1.0,N,,10.0,Bayview Hunters Point,1323580436488,2025-08-07T23:55:01.000,POINT (-122.392222474 37.717174176),eas_address_point
201311071366,8,otc alterations permit,2013-11-07T00:00:00.000,4991,277,2013-11-07T11:56:35.000,2013-11-08T08:00:24.000,2013-11-08T08:00:24.000,2014-04-01T07:13:09.000,complete,2014-04-01T07:13:09.000,843,Jamestown,Av,94124,apartments,apartments,18.0,18.0,1.0,1.0,N,Y,10.0,Bayview Hunters Point,1323577436487,2025-08-07T23:55:01.000,POINT (-122.392222474 37.717174176),eas_address_point
